球隊名稱,戰績,最近10場,近期狀態
Oklahoma City Thunder,46-20 (.697),7-3  ,W1
Denver Nuggets,46-20 (.697),9-1  ,W4
Minnesota Timberwolves,45-21 (.682),6-4  ,W1
LA Clippers,42-23 (.646),5-5  ,W1
New Orleans Pelicans,39-26 (.6),6-4  ,L1
Dallas Mavericks,38-29 (.567),5-5  ,L1
Phoenix Suns,38-28 (.576),5-5  ,L1
Sacramento Kings,38-27 (.585),6-4  ,W2
Los Angeles Lakers,36-31 (.537),6-4  ,L1
Golden State Warriors,34-31 (.523),5-5  ,L1
Houston Rockets,31-35 (.47),6-4  ,W4
Utah Jazz,28-37 (.431),2-8  ,L3
Memphis Grizzlies,23-44 (.343),3-7  ,L1
Portland Trail Blazers,19-47 (.288),4-6  ,L1
San Antonio Spurs,14-52 (.212),3-7  ,L2
